,Measurement,Year,Country,Proportion,fCountry
4063,Protein,1996,Burundi,0.523421589,Burundi
4064,Weight,1996,Burundi,0.229653353,Burundi
4065,Calories,1997,Burundi,0.219626168,Burundi
4066,Fat,1997,Burundi,0.230769231,Burundi
4067,Protein,1997,Burundi,0.504149378,Burundi
4068,Weight,1997,Burundi,0.199586544,Burundi
4069,Calories,1998,Burundi,0.224955009,Burundi
4070,Fat,1998,Burundi,0.224719101,Burundi
4071,Protein,1998,Burundi,0.509473684,Burundi
4072,Weight,1998,Burundi,0.212487611,Burundi
4073,Calories,1999,Burundi,0.180278282,Burundi
4074,Fat,1999,Burundi,0.24691358,Burundi
4075,Protein,1999,Burundi,0.442396313,Burundi
4076,Weight,1999,Burundi,0.243121842,Burundi
4077,Calories,2000,Burundi,0.185207824,Burundi
4078,Fat,2000,Burundi,0.220930233,Burundi
4079,Protein,2000,Burundi,0.455813953,Burundi
4080,Weight,2000,Burundi,0.244199315,Burundi
4081,Calories,2001,Burundi,0.180072029,Burundi
4082,Fat,2001,Burundi,0.180851064,Burundi
4083,Protein,2001,Burundi,0.432941176,Burundi
4084,Weight,2001,Burundi,0.250092081,Burundi
4085,Calories,2002,Burundi,0.175764847,Burundi
4086,Fat,2002,Burundi,0.197802198,Burundi
4087,Protein,2002,Burundi,0.424242424,Burundi
4088,Weight,2002,Burundi,0.257609094,Burundi
4089,Calories,2003,Burundi,0.174622356,Burundi
4090,Fat,2003,Burundi,0.268817204,Burundi
4091,Protein,2003,Burundi,0.391608392,Burundi
4092,Weight,2003,Burundi,0.261742494,Burundi
4093,Calories,2004,Burundi,0.171480144,Burundi
4094,Fat,2004,Burundi,0.22,Burundi
4095,Protein,2004,Burundi,0.389277389,Burundi
4096,Weight,2004,Burundi,0.267972648,Burundi
4097,Calories,2005,Burundi,0.172075934,Burundi
4098,Fat,2005,Burundi,0.257425743,Burundi
4099,Protein,2005,Burundi,0.402877698,Burundi
4100,Weight,2005,Burundi,0.276463964,Burundi
4101,Calories,2006,Burundi,0.170897833,Burundi
4102,Fat,2006,Burundi,0.347107438,Burundi
4103,Protein,2006,Burundi,0.395577396,Burundi
4104,Weight,2006,Burundi,0.280121052,Burundi
4105,Calories,2007,Burundi,0.167910448,Burundi
4106,Fat,2007,Burundi,0.382978723,Burundi
4107,Protein,2007,Burundi,0.385542169,Burundi
4108,Weight,2007,Burundi,0.249711205,Burundi
4109,Calories,2008,Burundi,0.171263631,Burundi
4110,Fat,2008,Burundi,0.446808511,Burundi
4111,Protein,2008,Burundi,0.401515152,Burundi
4112,Weight,2008,Burundi,0.263982547,Burundi
4113,Calories,2009,Burundi,0.154539601,Burundi
4114,Fat,2009,Burundi,0.405228758,Burundi
4115,Protein,2009,Burundi,0.390428212,Burundi
4116,Weight,2009,Burundi,0.261400651,Burundi
4117,Calories,1961,Côte d'Ivoire,0.263032042,Côte d'Ivoire
4118,Fat,1961,Côte d'Ivoire,0.426666667,Côte d'Ivoire
4119,Protein,1961,Côte d'Ivoire,0.268292683,Côte d'Ivoire
4120,Weight,1961,Côte d'Ivoire,0.343008366,Côte d'Ivoire
4121,Calories,1962,Côte d'Ivoire,0.252857796,Côte d'Ivoire
4122,Fat,1962,Côte d'Ivoire,0.398373984,Côte d'Ivoire
4123,Protein,1962,Côte d'Ivoire,0.252148997,Côte d'Ivoire
4124,Weight,1962,Côte d'Ivoire,0.327754306,Côte d'Ivoire
4125,Calories,1963,Côte d'Ivoire,0.241027913,Côte d'Ivoire
4126,Fat,1963,Côte d'Ivoire,0.363265306,Côte d'Ivoire
4127,Protein,1963,Côte d'Ivoire,0.2265625,Côte d'Ivoire
4128,Weight,1963,Côte d'Ivoire,0.326326162,Côte d'Ivoire
4129,Calories,1964,Côte d'Ivoire,0.232638889,Côte d'Ivoire
4130,Fat,1964,Côte d'Ivoire,0.320895522,Côte d'Ivoire
4131,Protein,1964,Côte d'Ivoire,0.218829517,Côte d'Ivoire
4132,Weight,1964,Côte d'Ivoire,0.320130933,Côte d'Ivoire
4133,Calories,1965,Côte d'Ivoire,0.226246272,Côte d'Ivoire
4134,Fat,1965,Côte d'Ivoire,0.381679389,Côte d'Ivoire
4135,Protein,1965,Côte d'Ivoire,0.215189873,Côte d'Ivoire
4136,Weight,1965,Côte d'Ivoire,0.316468092,Côte d'Ivoire
4137,Calories,1966,Côte d'Ivoire,0.223129837,Côte d'Ivoire
4138,Fat,1966,Côte d'Ivoire,0.370503597,Côte d'Ivoire
4139,Protein,1966,Côte d'Ivoire,0.213917526,Côte d'Ivoire
4140,Weight,1966,Côte d'Ivoire,0.312273177,Côte d'Ivoire
4141,Calories,1967,Côte d'Ivoire,0.220060527,Côte d'Ivoire
4142,Fat,1967,Côte d'Ivoire,0.371212121,Côte d'Ivoire
4143,Protein,1967,Côte d'Ivoire,0.217948718,Côte d'Ivoire
4144,Weight,1967,Côte d'Ivoire,0.311014396,Côte d'Ivoire
4145,Calories,1968,Côte d'Ivoire,0.212121212,Côte d'Ivoire
4146,Fat,1968,Côte d'Ivoire,0.397923875,Côte d'Ivoire
4147,Protein,1968,Côte d'Ivoire,0.213759214,Côte d'Ivoire
4148,Weight,1968,Côte d'Ivoire,0.307152406,Côte d'Ivoire
4149,Calories,1969,Côte d'Ivoire,0.222736842,Côte d'Ivoire
4150,Fat,1969,Côte d'Ivoire,0.42721519,Côte d'Ivoire
4151,Protein,1969,Côte d'Ivoire,0.216216216,Côte d'Ivoire
4152,Weight,1969,Côte d'Ivoire,0.322860963,Côte d'Ivoire
4153,Calories,1970,Côte d'Ivoire,0.214581607,Côte d'Ivoire
4154,Fat,1970,Côte d'Ivoire,0.445103858,Côte d'Ivoire
4155,Protein,1970,Côte d'Ivoire,0.2,Côte d'Ivoire
4156,Weight,1970,Côte d'Ivoire,0.317753867,Côte d'Ivoire
4157,Calories,1971,Côte d'Ivoire,0.211489362,Côte d'Ivoire
4158,Fat,1971,Côte d'Ivoire,0.426380368,Côte d'Ivoire
4159,Protein,1971,Côte d'Ivoire,0.219143577,Côte d'Ivoire
4160,Weight,1971,Côte d'Ivoire,0.308620983,Côte d'Ivoire
4161,Calories,1972,Côte d'Ivoire,0.200515243,Côte d'Ivoire
4162,Fat,1972,Côte d'Ivoire,0.437681159,Côte d'Ivoire
4163,Protein,1972,Côte d'Ivoire,0.235294118,Côte d'Ivoire
4164,Weight,1972,Côte d'Ivoire,0.29783141,Côte d'Ivoire
4165,Calories,1973,Côte d'Ivoire,0.227705628,Côte d'Ivoire
4166,Fat,1973,Côte d'Ivoire,0.481481481,Côte d'Ivoire
4167,Protein,1973,Côte d'Ivoire,0.240932642,Côte d'Ivoire
4168,Weight,1973,Côte d'Ivoire,0.332525532,Côte d'Ivoire
4169,Calories,1974,Côte d'Ivoire,0.24283232,Côte d'Ivoire
4170,Fat,1974,Côte d'Ivoire,0.507462687,Côte d'Ivoire
4171,Protein,1974,Côte d'Ivoire,0.232984293,Côte d'Ivoire
4172,Weight,1974,Côte d'Ivoire,0.348531421,Côte d'Ivoire
4173,Calories,1975,Côte d'Ivoire,0.223700121,Côte d'Ivoire
4174,Fat,1975,Côte d'Ivoire,0.508571429,Côte d'Ivoire
4175,Protein,1975,Côte d'Ivoire,0.226463104,Côte d'Ivoire
4176,Weight,1975,Côte d'Ivoire,0.300430459,Côte d'Ivoire
4177,Calories,1976,Côte d'Ivoire,0.209462192,Côte d'Ivoire
4178,Fat,1976,Côte d'Ivoire,0.502777778,Côte d'Ivoire
4179,Protein,1976,Côte d'Ivoire,0.211195929,Côte d'Ivoire
4180,Weight,1976,Côte d'Ivoire,0.287756654,Côte d'Ivoire
4181,Calories,1977,Côte d'Ivoire,0.187550854,Côte d'Ivoire
4182,Fat,1977,Côte d'Ivoire,0.527918782,Côte d'Ivoire
4183,Protein,1977,Côte d'Ivoire,0.235751295,Côte d'Ivoire
4184,Weight,1977,Côte d'Ivoire,0.267769121,Côte d'Ivoire
4185,Calories,1978,Côte d'Ivoire,0.184284005,Côte d'Ivoire
4186,Fat,1978,Côte d'Ivoire,0.5425,Côte d'Ivoire
4187,Protein,1978,Côte d'Ivoire,0.227848101,Côte d'Ivoire
4188,Weight,1978,Côte d'Ivoire,0.264180508,Côte d'Ivoire
4189,Calories,1979,Côte d'Ivoire,0.199014405,Côte d'Ivoire
4190,Fat,1979,Côte d'Ivoire,0.529850746,Côte d'Ivoire
4191,Protein,1979,Côte d'Ivoire,0.260869565,Côte d'Ivoire
4192,Weight,1979,Côte d'Ivoire,0.25195078,Côte d'Ivoire
4193,Calories,1980,Côte d'Ivoire,0.204135338,Côte d'Ivoire
4194,Fat,1980,Côte d'Ivoire,0.508158508,Côte d'Ivoire
4195,Protein,1980,Côte d'Ivoire,0.259345794,Côte d'Ivoire
4196,Weight,1980,Côte d'Ivoire,0.286524605,Côte d'Ivoire
4197,Calories,1981,Côte d'Ivoire,0.206819867,Côte d'Ivoire
4198,Fat,1981,Côte d'Ivoire,0.558035714,Côte d'Ivoire
4199,Protein,1981,Côte d'Ivoire,0.261072261,Côte d'Ivoire
4200,Weight,1981,Côte d'Ivoire,0.287110284,Côte d'Ivoire
4201,Calories,1982,Côte d'Ivoire,0.207193706,Côte d'Ivoire
4202,Fat,1982,Côte d'Ivoire,0.554054054,Côte d'Ivoire
4203,Protein,1982,Côte d'Ivoire,0.263033175,Côte d'Ivoire
4204,Weight,1982,Côte d'Ivoire,0.298697222,Côte d'Ivoire
4205,Calories,1983,Côte d'Ivoire,0.223127668,Côte d'Ivoire
4206,Fat,1983,Côte d'Ivoire,0.551569507,Côte d'Ivoire
4207,Protein,1983,Côte d'Ivoire,0.282926829,Côte d'Ivoire
4208,Weight,1983,Côte d'Ivoire,0.292085848,Côte d'Ivoire
4209,Calories,1984,Côte d'Ivoire,0.20206659,Côte d'Ivoire
4210,Fat,1984,Côte d'Ivoire,0.602536998,Côte d'Ivoire
4211,Protein,1984,Côte d'Ivoire,0.262899263,Côte d'Ivoire
4212,Weight,1984,Côte d'Ivoire,0.301363272,Côte d'Ivoire
4213,Calories,1985,Côte d'Ivoire,0.200709779,Côte d'Ivoire
4214,Fat,1985,Côte d'Ivoire,0.585263158,Côte d'Ivoire
4215,Protein,1985,Côte d'Ivoire,0.262086514,Côte d'Ivoire
4216,Weight,1985,Côte d'Ivoire,0.28001347,Côte d'Ivoire
4217,Calories,1986,Côte d'Ivoire,0.201667328,Côte d'Ivoire
4218,Fat,1986,Côte d'Ivoire,0.592592593,Côte d'Ivoire
4219,Protein,1986,Côte d'Ivoire,0.262755102,Côte d'Ivoire
4220,Weight,1986,Côte d'Ivoire,0.291588466,Côte d'Ivoire
4221,Calories,1987,Côte d'Ivoire,0.206768469,Côte d'Ivoire
4222,Fat,1987,Côte d'Ivoire,0.531578947,Côte d'Ivoire
4223,Protein,1987,Côte d'Ivoire,0.260869565,Côte d'Ivoire
4224,Weight,1987,Côte d'Ivoire,0.294372294,Côte d'Ivoire
4225,Calories,1988,Côte d'Ivoire,0.213338857,Côte d'Ivoire
4226,Fat,1988,Côte d'Ivoire,0.516304348,Côte d'Ivoire
4227,Protein,1988,Côte d'Ivoire,0.268542199,Côte d'Ivoire
4228,Weight,1988,Côte d'Ivoire,0.295339501,Côte d'Ivoire
4229,Calories,1989,Côte d'Ivoire,0.21048218,Côte d'Ivoire
4230,Fat,1989,Côte d'Ivoire,0.547979798,Côte d'Ivoire
4231,Protein,1989,Côte d'Ivoire,0.271052632,Côte d'Ivoire
4232,Weight,1989,Côte d'Ivoire,0.298351356,Côte d'Ivoire
4233,Calories,1990,Côte d'Ivoire,0.210571185,Côte d'Ivoire
4234,Fat,1990,Côte d'Ivoire,0.575,Côte d'Ivoire
4235,Protein,1990,Côte d'Ivoire,0.271276596,Côte d'Ivoire
4236,Weight,1990,Côte d'Ivoire,0.295550847,Côte d'Ivoire
4237,Calories,1991,Côte d'Ivoire,0.207172996,Côte d'Ivoire
4238,Fat,1991,Côte d'Ivoire,0.571788413,Côte d'Ivoire
4239,Protein,1991,Côte d'Ivoire,0.267195767,Côte d'Ivoire
4240,Weight,1991,Côte d'Ivoire,0.29154979,Côte d'Ivoire
4241,Calories,1992,Côte d'Ivoire,0.204459403,Côte d'Ivoire
4242,Fat,1992,Côte d'Ivoire,0.554156171,Côte d'Ivoire
4243,Protein,1992,Côte d'Ivoire,0.263157895,Côte d'Ivoire
4244,Weight,1992,Côte d'Ivoire,0.301913043,Côte d'Ivoire
4245,Calories,1993,Côte d'Ivoire,0.217898833,Côte d'Ivoire
4246,Fat,1993,Côte d'Ivoire,0.551532033,Côte d'Ivoire
4247,Protein,1993,Côte d'Ivoire,0.276595745,Côte d'Ivoire
4248,Weight,1993,Côte d'Ivoire,0.292691622,Côte d'Ivoire
4249,Calories,1994,Côte d'Ivoire,0.207643312,Côte d'Ivoire
4250,Fat,1994,Côte d'Ivoire,0.601485149,Côte d'Ivoire
4251,Protein,1994,Côte d'Ivoire,0.268817204,Côte d'Ivoire
4252,Weight,1994,Côte d'Ivoire,0.286591787,Côte d'Ivoire
4253,Calories,1995,Côte d'Ivoire,0.212810788,Côte d'Ivoire
4254,Fat,1995,Côte d'Ivoire,0.571428571,Côte d'Ivoire
4255,Protein,1995,Côte d'Ivoire,0.279683377,Côte d'Ivoire
4256,Weight,1995,Côte d'Ivoire,0.285137743,Côte d'Ivoire
4257,Calories,1996,Côte d'Ivoire,0.219240297,Côte d'Ivoire
4258,Fat,1996,Côte d'Ivoire,0.629385965,Côte d'Ivoire
4259,Protein,1996,Côte d'Ivoire,0.287564767,Côte d'Ivoire
4260,Weight,1996,Côte d'Ivoire,0.280103806,Côte d'Ivoire
4261,Calories,1997,Côte d'Ivoire,0.192989525,Côte d'Ivoire
4262,Fat,1997,Côte d'Ivoire,0.618448637,Côte d'Ivoire
4263,Protein,1997,Côte d'Ivoire,0.241645244,Côte d'Ivoire
4264,Weight,1997,Côte d'Ivoire,0.288258575,Côte d'Ivoire
4265,Calories,1998,Côte d'Ivoire,0.195280716,Côte d'Ivoire
4266,Fat,1998,Côte d'Ivoire,0.579418345,Côte d'Ivoire
4267,Protein,1998,Côte d'Ivoire,0.224226804,Côte d'Ivoire
4268,Weight,1998,Côte d'Ivoire,0.289273927,Côte d'Ivoire
4269,Calories,1999,Côte d'Ivoire,0.195537525,Côte d'Ivoire
4270,Fat,1999,Côte d'Ivoire,0.568669528,Côte d'Ivoire
4271,Protein,1999,Côte d'Ivoire,0.225388601,Côte d'Ivoire
4272,Weight,1999,Côte d'Ivoire,0.290909091,Côte d'Ivoire
4273,Calories,2000,Côte d'Ivoire,0.198124745,Côte d'Ivoire
4274,Fat,2000,Côte d'Ivoire,0.556722689,Côte d'Ivoire
4275,Protein,2000,Côte d'Ivoire,0.236979167,Côte d'Ivoire
4276,Weight,2000,Côte d'Ivoire,0.296469801,Côte d'Ivoire
4277,Calories,2001,Côte d'Ivoire,0.198541329,Côte d'Ivoire
4278,Fat,2001,Côte d'Ivoire,0.585020243,Côte d'Ivoire
4279,Protein,2001,Côte d'Ivoire,0.250645995,Côte d'Ivoire
4280,Weight,2001,Côte d'Ivoire,0.305954825,Côte d'Ivoire
4281,Calories,2002,Côte d'Ivoire,0.197525938,Côte d'Ivoire
4282,Fat,2002,Côte d'Ivoire,0.579365079,Côte d'Ivoire
4283,Protein,2002,Côte d'Ivoire,0.245478036,Côte d'Ivoire
4284,Weight,2002,Côte d'Ivoire,0.300765646,Côte d'Ivoire
4285,Calories,2003,Côte d'Ivoire,0.199760766,Côte d'Ivoire
4286,Fat,2003,Côte d'Ivoire,0.59009901,Côte d'Ivoire
4287,Protein,2003,Côte d'Ivoire,0.260416667,Côte d'Ivoire
4288,Weight,2003,Côte d'Ivoire,0.310052551,Côte d'Ivoire
4289,Calories,2004,Côte d'Ivoire,0.219329389,Côte d'Ivoire
4290,Fat,2004,Côte d'Ivoire,0.616977226,Côte d'Ivoire
4291,Protein,2004,Côte d'Ivoire,0.283544304,Côte d'Ivoire
4292,Weight,2004,Côte d'Ivoire,0.308957952,Côte d'Ivoire
4293,Calories,2005,Côte d'Ivoire,0.206949807,Côte d'Ivoire
4294,Fat,2005,Côte d'Ivoire,0.575757576,Côte d'Ivoire
4295,Protein,2005,Côte d'Ivoire,0.267326733,Côte d'Ivoire
4296,Weight,2005,Côte d'Ivoire,0.305973774,Côte d'Ivoire
4297,Calories,2006,Côte d'Ivoire,0.211805556,Côte d'Ivoire
4298,Fat,2006,Côte d'Ivoire,0.621338912,Côte d'Ivoire
4299,Protein,2006,Côte d'Ivoire,0.27027027,Côte d'Ivoire
4300,Weight,2006,Côte d'Ivoire,0.320594819,Côte d'Ivoire
4301,Calories,2007,Côte d'Ivoire,0.226565465,Côte d'Ivoire
4302,Fat,2007,Côte d'Ivoire,0.566315789,Côte d'Ivoire
4303,Protein,2007,Côte d'Ivoire,0.288834951,Côte d'Ivoire
4304,Weight,2007,Côte d'Ivoire,0.32540932,Côte d'Ivoire
4305,Calories,2008,Côte d'Ivoire,0.226744186,Côte d'Ivoire
4306,Fat,2008,Côte d'Ivoire,0.595061728,Côte d'Ivoire
4307,Protein,2008,Côte d'Ivoire,0.281927711,Côte d'Ivoire
4308,Weight,2008,Côte d'Ivoire,0.324434673,Côte d'Ivoire
4309,Calories,2009,Côte d'Ivoire,0.237631476,Côte d'Ivoire
4310,Fat,2009,Côte d'Ivoire,0.547368421,Côte d'Ivoire
4311,Protein,2009,Côte d'Ivoire,0.293975904,Côte d'Ivoire
4312,Weight,2009,Côte d'Ivoire,0.303721086,Côte d'Ivoire
4313,Calories,1961,Cambodia,0.803370787,Cambodia
4314,Fat,1961,Cambodia,0.468468468,Cambodia
4315,Protein,1961,Cambodia,0.810606061,Cambodia
4316,Weight,1961,Cambodia,0.530927835,Cambodia
4317,Calories,1962,Cambodia,0.805194805,Cambodia
4318,Fat,1962,Cambodia,0.428571429,Cambodia
4319,Protein,1962,Cambodia,0.816537468,Cambodia
4320,Weight,1962,Cambodia,0.540252828,Cambodia
4321,Calories,1963,Cambodia,0.809763463,Cambodia
4322,Fat,1963,Cambodia,0.464912281,Cambodia
4323,Protein,1963,Cambodia,0.815920398,Cambodia
4324,Weight,1963,Cambodia,0.531023622,Cambodia
4325,Calories,1964,Cambodia,0.781201849,Cambodia
4326,Fat,1964,Cambodia,0.378787879,Cambodia
4327,Protein,1964,Cambodia,0.784810127,Cambodia
4328,Weight,1964,Cambodia,0.502839117,Cambodia
4329,Calories,1965,Cambodia,0.792890263,Cambodia
4330,Fat,1965,Cambodia,0.401574803,Cambodia
4331,Protein,1965,Cambodia,0.796954315,Cambodia
4332,Weight,1965,Cambodia,0.519832312,Cambodia
4333,Calories,1966,Cambodia,0.791946309,Cambodia
4334,Fat,1966,Cambodia,0.404761905,Cambodia
4335,Protein,1966,Cambodia,0.788413098,Cambodia
4336,Weight,1966,Cambodia,0.526022913,Cambodia
4337,Calories,1967,Cambodia,0.776799586,Cambodia
4338,Fat,1967,Cambodia,0.41322314,Cambodia
4339,Protein,1967,Cambodia,0.782608696,Cambodia
4340,Weight,1967,Cambodia,0.507428941,Cambodia
4341,Calories,1968,Cambodia,0.777663934,Cambodia
4342,Fat,1968,Cambodia,0.387596899,Cambodia
4343,Protein,1968,Cambodia,0.79028133,Cambodia
4344,Weight,1968,Cambodia,0.518747962,Cambodia
4345,Calories,1969,Cambodia,0.78025974,Cambodia
4346,Fat,1969,Cambodia,0.393700787,Cambodia
4347,Protein,1969,Cambodia,0.780612245,Cambodia
4348,Weight,1969,Cambodia,0.521192053,Cambodia
4349,Calories,1970,Cambodia,0.787437186,Cambodia
4350,Fat,1970,Cambodia,0.409448819,Cambodia
4351,Protein,1970,Cambodia,0.790123457,Cambodia
4352,Weight,1970,Cambodia,0.522250477,Cambodia
4353,Calories,1971,Cambodia,0.781533804,Cambodia
4354,Fat,1971,Cambodia,0.354166667,Cambodia
4355,Protein,1971,Cambodia,0.770731707,Cambodia
4356,Weight,1971,Cambodia,0.549983057,Cambodia
4357,Calories,1972,Cambodia,0.791901589,Cambodia
4358,Fat,1972,Cambodia,0.401574803,Cambodia
4359,Protein,1972,Cambodia,0.78553616,Cambodia
4360,Weight,1972,Cambodia,0.555593686,Cambodia
4361,Calories,1973,Cambodia,0.811907271,Cambodia
4362,Fat,1973,Cambodia,0.411290323,Cambodia
4363,Protein,1973,Cambodia,0.79093199,Cambodia
4364,Weight,1973,Cambodia,0.568261787,Cambodia
4365,Calories,1974,Cambodia,0.811609499,Cambodia
4366,Fat,1974,Cambodia,0.411290323,Cambodia
4367,Protein,1974,Cambodia,0.785,Cambodia
4368,Weight,1974,Cambodia,0.570215776,Cambodia
4369,Calories,1975,Cambodia,0.784691973,Cambodia
4370,Fat,1975,Cambodia,0.375,Cambodia
4371,Protein,1975,Cambodia,0.751461988,Cambodia
4372,Weight,1975,Cambodia,0.522547468,Cambodia
4373,Calories,1976,Cambodia,0.787524366,Cambodia
4374,Fat,1976,Cambodia,0.37037037,Cambodia
4375,Protein,1976,Cambodia,0.75304878,Cambodia
4376,Weight,1976,Cambodia,0.512303348,Cambodia
4377,Calories,1977,Cambodia,0.783333333,Cambodia
4378,Fat,1977,Cambodia,0.380952381,Cambodia
4379,Protein,1977,Cambodia,0.75,Cambodia
4380,Weight,1977,Cambodia,0.508541915,Cambodia
4381,Calories,1978,Cambodia,0.804711717,Cambodia
4382,Fat,1978,Cambodia,0.434343434,Cambodia
4383,Protein,1978,Cambodia,0.781710914,Cambodia
4384,Weight,1978,Cambodia,0.547504026,Cambodia
4385,Calories,1979,Cambodia,0.825659914,Cambodia
4386,Fat,1979,Cambodia,0.448979592,Cambodia
4387,Protein,1979,Cambodia,0.803519062,Cambodia
4388,Weight,1979,Cambodia,0.556432518,Cambodia
4389,Calories,1980,Cambodia,0.7785672,Cambodia
4390,Fat,1980,Cambodia,0.394495413,Cambodia
4391,Protein,1980,Cambodia,0.790560472,Cambodia
4392,Weight,1980,Cambodia,0.541028661,Cambodia
4393,Calories,1981,Cambodia,0.787549971,Cambodia
4394,Fat,1981,Cambodia,0.464646465,Cambodia
4395,Protein,1981,Cambodia,0.774104683,Cambodia
4396,Weight,1981,Cambodia,0.532424466,Cambodia
4397,Calories,1982,Cambodia,0.826112074,Cambodia
4398,Fat,1982,Cambodia,0.494736842,Cambodia
4399,Protein,1982,Cambodia,0.795640327,Cambodia
4400,Weight,1982,Cambodia,0.564595104,Cambodia
4401,Calories,1983,Cambodia,0.836047165,Cambodia
4402,Fat,1983,Cambodia,0.429824561,Cambodia
4403,Protein,1983,Cambodia,0.808510638,Cambodia
4404,Weight,1983,Cambodia,0.574319352,Cambodia
4405,Calories,1984,Cambodia,0.873410405,Cambodia
4406,Fat,1984,Cambodia,0.520833333,Cambodia
4407,Protein,1984,Cambodia,0.846153846,Cambodia
4408,Weight,1984,Cambodia,0.618117923,Cambodia
4409,Calories,1985,Cambodia,0.878880097,Cambodia
4410,Fat,1985,Cambodia,0.505263158,Cambodia
4411,Protein,1985,Cambodia,0.844827586,Cambodia
4412,Weight,1985,Cambodia,0.616544417,Cambodia
4413,Calories,1986,Cambodia,0.856613103,Cambodia
4414,Fat,1986,Cambodia,0.469387755,Cambodia
4415,Protein,1986,Cambodia,0.829912023,Cambodia
4416,Weight,1986,Cambodia,0.587783172,Cambodia
4417,Calories,1987,Cambodia,0.879813302,Cambodia
4418,Fat,1987,Cambodia,0.490196078,Cambodia
4419,Protein,1987,Cambodia,0.839237057,Cambodia
4420,Weight,1987,Cambodia,0.622195986,Cambodia
4421,Calories,1988,Cambodia,0.843478261,Cambodia
4422,Fat,1988,Cambodia,0.505263158,Cambodia
4423,Protein,1988,Cambodia,0.836619718,Cambodia
4424,Weight,1988,Cambodia,0.553941155,Cambodia
4425,Calories,1989,Cambodia,0.882637629,Cambodia
4426,Fat,1989,Cambodia,0.510638298,Cambodia
4427,Protein,1989,Cambodia,0.863372093,Cambodia
4428,Weight,1989,Cambodia,0.616035455,Cambodia
4429,Calories,1990,Cambodia,0.855386417,Cambodia
4430,Fat,1990,Cambodia,0.432432432,Cambodia
4431,Protein,1990,Cambodia,0.844192635,Cambodia
4432,Weight,1990,Cambodia,0.613592233,Cambodia
4433,Calories,1991,Cambodia,0.882253521,Cambodia
4434,Fat,1991,Cambodia,0.456140351,Cambodia
4435,Protein,1991,Cambodia,0.873972603,Cambodia
4436,Weight,1991,Cambodia,0.651287966,Cambodia
4437,Calories,1992,Cambodia,0.848383501,Cambodia
4438,Fat,1992,Cambodia,0.41322314,Cambodia
4439,Protein,1992,Cambodia,0.85399449,Cambodia
4440,Weight,1992,Cambodia,0.613950019,Cambodia
4441,Calories,1993,Cambodia,0.861779519,Cambodia
4442,Fat,1993,Cambodia,0.34,Cambodia
4443,Protein,1993,Cambodia,0.865013774,Cambodia
4444,Weight,1993,Cambodia,0.645486246,Cambodia
4445,Calories,1994,Cambodia,0.861172566,Cambodia
4446,Fat,1994,Cambodia,0.34,Cambodia
4447,Protein,1994,Cambodia,0.878116343,Cambodia
4448,Weight,1994,Cambodia,0.642257818,Cambodia
4449,Calories,1995,Cambodia,0.857300275,Cambodia
4450,Fat,1995,Cambodia,0.349315068,Cambodia
4451,Protein,1995,Cambodia,0.868493151,Cambodia
4452,Weight,1995,Cambodia,0.647556753,Cambodia
4453,Calories,1996,Cambodia,0.832246592,Cambodia
4454,Fat,1996,Cambodia,0.315068493,Cambodia
4455,Protein,1996,Cambodia,0.853731343,Cambodia
4456,Weight,1996,Cambodia,0.615727604,Cambodia
4457,Calories,1997,Cambodia,0.831061055,Cambodia
4458,Fat,1997,Cambodia,0.328571429,Cambodia
4459,Protein,1997,Cambodia,0.856287425,Cambodia
4460,Weight,1997,Cambodia,0.616009752,Cambodia
4461,Calories,1998,Cambodia,0.831828442,Cambodia
4462,Fat,1998,Cambodia,0.35,Cambodia
4463,Protein,1998,Cambodia,0.864553314,Cambodia
4464,Weight,1998,Cambodia,0.627312082,Cambodia
4465,Calories,1999,Cambodia,0.810071155,Cambodia
4466,Fat,1999,Cambodia,0.333333333,Cambodia
4467,Protein,1999,Cambodia,0.838888889,Cambodia
4468,Weight,1999,Cambodia,0.607590133,Cambodia
4469,Calories,2000,Cambodia,0.817431666,Cambodia
4470,Fat,2000,Cambodia,0.35862069,Cambodia
4471,Protein,2000,Cambodia,0.838961039,Cambodia
4472,Weight,2000,Cambodia,0.61566092,Cambodia
4473,Calories,2001,Cambodia,0.798305982,Cambodia
4474,Fat,2001,Cambodia,0.326797386,Cambodia
4475,Protein,2001,Cambodia,0.83197832,Cambodia
4476,Weight,2001,Cambodia,0.598258236,Cambodia
4477,Calories,2002,Cambodia,0.790072389,Cambodia
4478,Fat,2002,Cambodia,0.305389222,Cambodia
4479,Protein,2002,Cambodia,0.807792208,Cambodia
4480,Weight,2002,Cambodia,0.594725111,Cambodia
4481,Calories,2003,Cambodia,0.743963783,Cambodia
4482,Fat,2003,Cambodia,0.275280899,Cambodia
4483,Protein,2003,Cambodia,0.743209877,Cambodia
4484,Weight,2003,Cambodia,0.549061282,Cambodia
4485,Calories,2004,Cambodia,0.727594937,Cambodia
4486,Fat,2004,Cambodia,0.262569832,Cambodia
4487,Protein,2004,Cambodia,0.725247525,Cambodia
4488,Weight,2004,Cambodia,0.530864198,Cambodia
4489,Calories,2005,Cambodia,0.727449079,Cambodia
4490,Fat,2005,Cambodia,0.265957447,Cambodia
4491,Protein,2005,Cambodia,0.73381295,Cambodia
4492,Weight,2005,Cambodia,0.528048371,Cambodia
4493,Calories,2006,Cambodia,0.717607973,Cambodia
4494,Fat,2006,Cambodia,0.248756219,Cambodia
4495,Protein,2006,Cambodia,0.711316397,Cambodia
